region,period,intakt_msek,opex_msek,vakans_pct_snitt,kommentar
Norden,2025-01,15.5,11.9,2.1,
Norden,2025-02,15.6,12.1,2.1,
Norden,2025-03,15.5,12.2,2.0,
Norden,2025-04,15.7,12.2,2.1,
Norden,2025-05,16.0,12.6,2.1,
Norden,2025-06,23.3,12.9,2.1,ALPHA LEASE INCENTIVE
Norden,2025-07,16.2,12.9,2.1,
Norden,2025-08,15.8,13.1,2.1,
Syd,2025-01,8.5,6.5,2.3,
Syd,2025-02,8.5,6.5,2.4,
Syd,2025-03,8.8,6.7,2.5,
Syd,2025-04,8.8,6.8,2.7,
Syd,2025-05,9.0,6.9,2.9,
Syd,2025-06,9.4,7.0,3.0,
Syd,2025-07,9.6,7.3,3.1,
Syd,2025-08,9.7,7.3,3.2,
