fastighet,region,period,intakt_msek,opex_msek,vakans_pct,energi_kwh
Alpha,Norden,2025-01,4.2,3.2,1.5,9500
Alpha,Norden,2025-02,4.3,3.2,1.5,9500
Alpha,Norden,2025-03,4.1,3.1,1.4,9500
Alpha,Norden,2025-04,4.4,3.2,1.5,9500
Alpha,Norden,2025-05,4.5,3.2,1.5,9500
Alpha,Norden,2025-06,12.0,3.3,1.5,9500
Alpha,Norden,2025-07,4.6,3.2,1.4,9500
Alpha,Norden,2025-08,4.5,3.2,1.5,9500
Beta,Norden,2025-01,3.5,2.8,2.0,7100
Beta,Norden,2025-02,3.5,2.85,2.0,7150
Beta,Norden,2025-03,3.4,2.9,2.1,7200
Beta,Norden,2025-04,3.5,2.95,2.0,7250
Beta,Norden,2025-05,3.5,3.05,2.0,7300
Beta,Norden,2025-06,3.5,3.15,2.0,7350
Beta,Norden,2025-07,3.6,3.25,2.1,7400
Beta,Norden,2025-08,3.5,3.35,2.0,7450
Delta,Norden,2025-01,5.0,3.8,1.8,10000
Delta,Norden,2025-02,5.0,3.9,1.8,10300
Delta,Norden,2025-03,5.1,4.0,1.7,10609
Delta,Norden,2025-04,5.0,4.0,1.8,10927
Delta,Norden,2025-05,5.1,4.1,1.8,11255
Delta,Norden,2025-06,5.0,4.2,1.8,11593
Delta,Norden,2025-07,5.1,4.3,1.7,11941
Delta,Norden,2025-08,5.0,4.4,1.8,12299
Gamma,Norden,2025-01,2.8,2.1,3.2,7800
Gamma,Norden,2025-02,2.8,2.1,3.1,7900
Gamma,Norden,2025-03,2.9,2.2,3.0,8000
Gamma,Norden,2025-04,2.8,2.1,3.1,8100
Gamma,Norden,2025-05,2.9,2.2,3.0,8000
Gamma,Norden,2025-06,2.8,2.3,3.2,10800
Gamma,Norden,2025-07,2.9,2.2,3.1,8200
Gamma,Norden,2025-08,2.8,2.1,3.0,8100
Epsilon,Syd,2025-01,2.8,2.2,2.4,6000
Epsilon,Syd,2025-02,2.8,2.2,2.4,6050
Epsilon,Syd,2025-03,2.9,2.2,2.3,6100
Epsilon,Syd,2025-04,2.8,2.3,2.4,6080
Epsilon,Syd,2025-05,2.8,2.2,2.4,6120
Epsilon,Syd,2025-06,2.9,2.2,2.4,6100
Epsilon,Syd,2025-07,2.8,2.3,2.3,6080
Epsilon,Syd,2025-08,2.8,2.2,2.4,6100
Zeta,Syd,2025-01,2.6,2.0,2.5,6200
Zeta,Syd,2025-02,2.6,2.0,2.5,6250
Zeta,Syd,2025-03,2.7,2.1,2.4,6300
Zeta,Syd,2025-04,2.6,2.1,2.5,6500
Zeta,Syd,2025-05,2.7,2.2,2.5,6800
Zeta,Syd,2025-06,2.7,2.3,2.5,7200
Zeta,Syd,2025-07,2.8,2.4,2.4,7800
Zeta,Syd,2025-08,2.8,2.5,2.5,8400
Eta,Syd,2025-01,3.1,2.3,2.1,6400
Eta,Syd,2025-02,3.1,2.3,2.3,6450
Eta,Syd,2025-03,3.2,2.4,2.8,6500
Eta,Syd,2025-04,3.4,2.4,3.2,6550
Eta,Syd,2025-05,3.5,2.5,3.8,6600
Eta,Syd,2025-06,3.8,2.5,4.2,6650
Eta,Syd,2025-07,4.0,2.6,4.5,6700
Eta,Syd,2025-08,4.1,2.6,4.8,6750
