lease_id,property,region,rent_ksek,status
L-0001,Lager-001,Norden,120,active
L-0002,Lager-002,Syd,123,active
L-0003,Lager-003,Norden,126,active
L-0004,Lager-004,Syd,129,active
L-0005,Lager-005,Norden,132,active
L-0006,Lager-006,Syd,135,active
L-0007,Lager-007,Norden,138,active
L-0008,Lager-008,Syd,120,active
L-0009,Lager-009,Norden,123,active
L-0010,Lager-010,Syd,126,active
L-0011,Lager-011,Norden,129,active
L-0012,Lager-012,Syd,132,active
L-0013,Lager-013,Norden,135,active
L-0014,Lager-014,Syd,138,active
L-0015,Lager-015,Norden,120,active
L-0016,Lager-016,Syd,123,active
L-0017,Lager-017,Norden,126,active
L-0018,Lager-018,Syd,129,active
L-0019,Lager-019,Norden,132,active
L-0020,Lager-020,Syd,135,active
L-0021,Lager-021,Norden,138,active
L-0022,Lager-022,Syd,120,active
L-0023,Lager-023,Norden,123,active
L-0024,Lager-024,Syd,126,active
L-0025,Lager-025,Norden,129,active
L-0026,Lager-026,Syd,132,active
L-0027,Lager-027,Norden,135,active
L-0028,Lager-028,Syd,138,active
L-0029,Lager-029,Norden,120,active
L-0030,Lager-030,Syd,123,active
L-0031,Lager-031,Norden,126,active
L-0032,Lager-032,Syd,129,active
L-0033,Lager-033,Norden,132,active
L-0034,Lager-034,Syd,135,active
L-0035,Lager-035,Norden,138,active
L-0036,Lager-036,Syd,120,active
L-0037,Lager-037,Norden,123,active
L-0038,Lager-038,Syd,126,active
L-0039,Lager-039,Norden,129,active
L-0040,Lager-040,Syd,132,active
L-0041,Lager-041,Norden,135,active
L-0042,Lager-042,Syd,138,active
L-0043,Lager-043,Norden,120,active
L-0044,Lager-044,Syd,123,active
L-0045,Lager-045,Norden,126,active
L-0046,Lager-046,Syd,129,active
L-0047,Lager-047,Norden,132,active
L-0048,Lager-048,Syd,135,active
L-0049,Lager-049,Norden,138,active
L-0050,Lager-050,Syd,120,active
L-0051,Lager-051,Norden,123,active
L-0052,Lager-052,Syd,126,active
L-0053,Lager-053,Norden,129,active
L-0054,Lager-054,Syd,132,active
L-0055,Lager-055,Norden,135,active
L-0056,Lager-056,Syd,138,active
L-0057,Lager-057,Norden,120,active
L-0058,Lager-058,Syd,123,active
L-0059,Lager-059,Norden,126,active
L-0060,Lager-060,Syd,129,active
L-0061,Kontor-001,Norden,85,active
L-0062,Kontor-002,Norden,86,active
L-0063,Kontor-003,Norden,87,active
L-0064,Kontor-004,Norden,88,active
L-0065,Kontor-005,Norden,89,active
L-0066,Kontor-006,Norden,85,active
L-0067,Kontor-007,Norden,86,active
L-0068,Kontor-008,Norden,87,active
L-0069,Kontor-009,Norden,88,active
L-0070,Kontor-010,Norden,89,active
L-0071,Kontor-011,Norden,85,active
L-0072,Kontor-012,Norden,86,active
L-0073,Kontor-013,Norden,87,active
L-0074,Kontor-014,Norden,88,active
L-0075,Kontor-015,Norden,89,active
L-0076,Kontor-016,Norden,85,active
L-0077,Kontor-017,Norden,86,active
L-0078,Kontor-018,Norden,87,active
L-0079,Kontor-019,Norden,88,active
L-0080,Kontor-020,Norden,89,active
L-0081,Kontor-021,Norden,85,active
L-0082,Kontor-022,Norden,86,active
L-0083,Kontor-023,Norden,87,active
L-0084,Kontor-024,Norden,88,active
L-0085,Kontor-025,Norden,89,active
L-0086,Kontor-026,Norden,85,active
L-0087,Kontor-027,Norden,86,active
L-0088,Kontor-028,Norden,87,active
L-0089,Kontor-029,Norden,88,active
L-0090,Kontor-030,Norden,89,active
L-0091,Kontor-031,Syd,85,active
L-0092,Kontor-032,Syd,86,active
L-0093,Kontor-033,Syd,87,active
L-0094,Kontor-034,Syd,88,active
L-0095,Kontor-035,Syd,89,active
L-0096,Kontor-036,Syd,85,active
L-0097,Kontor-037,Syd,86,active
L-0098,Kontor-038,Syd,87,active
L-0099,Kontor-039,Syd,88,active
L-0100,Kontor-040,Syd,89,active
L-0101,Kontor-041,Syd,85,active
L-0102,Kontor-042,Syd,86,active
L-0103,Kontor-043,Syd,87,active
L-0104,Kontor-044,Syd,88,active
L-0105,Kontor-045,Syd,89,active
L-0106,Kontor-046,Syd,85,active
L-0107,Kontor-047,Syd,86,active
L-0108,Kontor-048,Syd,87,active
L-0109,Kontor-049,Syd,88,active
L-0110,Kontor-050,Syd,89,active
L-0111,Kontor-051,Syd,85,active
L-0112,Kontor-052,Syd,86,active
L-0113,Kontor-053,Syd,87,active
L-0114,Kontor-054,Syd,88,active
L-0115,Kontor-055,Syd,89,active
L-0116,Kontor-056,Syd,85,active
L-0117,Kontor-057,Syd,86,active
L-0118,Kontor-058,Syd,87,active
L-0119,Kontor-059,Syd,88,active
L-0120,Kontor-060,Syd,89,active
