txn_id,region,amount_ksek,type,flag
T-00001,Norden,10.7,rent,
T-00002,Norden,11.4,rent,
T-00003,Syd,12.1,rent,
T-00004,Norden,12.8,rent,
T-00005,Norden,13.5,rent,
T-00006,Syd,14.2,rent,
T-00007,Norden,14.9,rent,
T-00008,Norden,15.6,rent,
T-00009,Syd,16.3,rent,
T-00010,Norden,17.0,rent,
T-00011,Norden,17.7,rent,
T-00012,Syd,18.4,rent,
T-00013,Norden,19.1,rent,
T-00014,Norden,19.8,rent,
T-00015,Syd,20.5,rent,
T-00016,Norden,21.2,rent,
T-00017,Norden,10.0,rent,
T-00018,Syd,10.7,rent,
T-00019,Norden,11.4,rent,
T-00020,Norden,12.1,rent,
T-00021,Syd,12.8,rent,
T-00022,Norden,13.5,rent,
T-00023,Norden,14.2,rent,
T-00024,Syd,14.9,rent,
T-00025,Norden,15.6,rent,
T-00026,Norden,16.3,rent,
T-00027,Syd,17.0,rent,
T-00028,Norden,17.7,rent,
T-00029,Norden,18.4,rent,
T-00030,Syd,19.1,rent,
T-00031,Norden,19.8,rent,
T-00032,Norden,20.5,rent,
T-00033,Syd,21.2,rent,
T-00034,Norden,10.0,rent,
T-00035,Norden,10.7,rent,
T-00036,Syd,11.4,rent,
T-00037,Norden,12.1,rent,
T-00038,Norden,12.8,rent,
T-00039,Syd,13.5,rent,
T-00040,Norden,14.2,rent,
T-00041,Norden,14.9,rent,
T-00042,Syd,15.6,rent,
T-00043,Norden,16.3,rent,
T-00044,Norden,17.0,rent,
T-00045,Syd,17.7,rent,
T-00046,Norden,18.4,rent,
T-00047,Norden,19.1,rent,
T-00048,Syd,19.8,rent,
T-00049,Norden,20.5,rent,
T-00050,Norden,21.2,rent,
T-00051,Syd,10.0,rent,
T-00052,Norden,10.7,rent,
T-00053,Norden,11.4,rent,
T-00054,Syd,12.1,rent,
T-00055,Norden,12.8,rent,
T-00056,Norden,13.5,rent,
T-00057,Syd,14.2,rent,
T-00058,Norden,14.9,rent,
T-00059,Norden,15.6,rent,
T-00060,Syd,16.3,rent,
T-00061,Norden,17.0,rent,
T-00062,Norden,17.7,rent,
T-00063,Syd,18.4,rent,
T-00064,Norden,19.1,rent,
T-00065,Norden,19.8,rent,
T-00066,Syd,20.5,rent,
T-00067,Norden,21.2,rent,
T-00068,Norden,10.0,rent,
T-00069,Syd,10.7,rent,
T-00070,Norden,11.4,rent,
T-00071,Norden,12.1,rent,
T-00072,Syd,12.8,rent,
T-00073,Norden,13.5,rent,
T-00074,Norden,14.2,rent,
T-00075,Syd,14.9,rent,
T-00076,Norden,15.6,rent,
T-00077,Norden,16.3,rent,
T-00078,Syd,17.0,rent,
T-00079,Norden,17.7,rent,
T-00080,Norden,18.4,rent,
T-00081,Syd,19.1,rent,
T-00082,Norden,19.8,rent,
T-00083,Norden,20.5,rent,
T-00084,Syd,21.2,rent,
T-00085,Norden,10.0,rent,
T-00086,Norden,10.7,rent,
T-00087,Syd,11.4,rent,
T-00088,Norden,12.1,rent,
T-00089,Norden,12.8,rent,
T-00090,Syd,13.5,rent,
T-00091,Norden,14.2,rent,
T-00092,Norden,14.9,rent,
T-00093,Syd,15.6,rent,
T-00094,Norden,16.3,rent,
T-00095,Norden,17.0,rent,
T-00096,Syd,17.7,rent,
T-00097,Norden,18.4,rent,
T-00098,Norden,19.1,rent,
T-00099,Syd,19.8,rent,
T-00100,Norden,20.5,rent,
T-00101,Norden,21.2,rent,
T-00102,Syd,10.0,rent,
T-00103,Norden,10.7,rent,
T-00104,Norden,11.4,rent,
T-00105,Syd,12.1,rent,
T-00106,Norden,12.8,rent,
T-00107,Norden,13.5,rent,
T-00108,Syd,14.2,rent,
T-00109,Norden,14.9,rent,
T-00110,Norden,15.6,rent,
T-00111,Syd,16.3,rent,
T-00112,Norden,17.0,rent,
T-00113,Norden,17.7,rent,
T-00114,Syd,18.4,rent,
T-00115,Norden,19.1,rent,
T-00116,Norden,19.8,rent,
T-00117,Syd,20.5,rent,
T-00118,Norden,21.2,rent,
T-00119,Norden,10.0,rent,
T-00120,Syd,10.7,rent,
T-00121,Norden,11.4,rent,
T-00122,Norden,12.1,rent,
T-00123,Syd,12.8,rent,
T-00124,Norden,13.5,rent,
T-00125,Norden,14.2,rent,
T-00126,Syd,14.9,rent,
T-00127,Norden,15.6,rent,
T-00128,Norden,16.3,rent,
T-00129,Syd,17.0,rent,
T-00130,Norden,17.7,rent,
T-00131,Norden,18.4,rent,
T-00132,Syd,19.1,rent,
T-00133,Norden,19.8,rent,
T-00134,Norden,20.5,rent,
T-00135,Syd,21.2,rent,
T-00136,Norden,10.0,rent,
T-00137,Norden,10.7,rent,
T-00138,Syd,11.4,rent,
T-00139,Norden,12.1,rent,
T-00140,Norden,12.8,rent,
T-00141,Syd,13.5,rent,
T-00142,Norden,14.2,rent,
T-00143,Norden,14.9,rent,
T-00144,Syd,15.6,rent,
T-00145,Norden,16.3,rent,
T-00146,Norden,17.0,rent,
T-00147,Syd,17.7,rent,
T-00148,Norden,18.4,rent,
T-00149,Norden,19.1,rent,
T-00150,Syd,19.8,rent,
T-00151,Norden,20.5,rent,
T-00152,Norden,21.2,rent,
T-00153,Syd,10.0,rent,
T-00154,Norden,10.7,rent,
T-00155,Norden,11.4,rent,
T-00156,Syd,12.1,rent,
T-00157,Norden,12.8,rent,
T-00158,Norden,13.5,rent,
T-00159,Syd,14.2,rent,
T-00160,Norden,14.9,rent,
T-00161,Norden,15.6,rent,
T-00162,Syd,16.3,rent,
T-00163,Norden,17.0,rent,
T-00164,Norden,17.7,rent,
T-00165,Syd,18.4,rent,
T-00166,Norden,19.1,rent,
T-00167,Norden,19.8,rent,
T-00168,Syd,20.5,rent,
T-00169,Norden,21.2,rent,
T-00170,Norden,10.0,rent,
T-00171,Syd,10.7,rent,
T-00172,Norden,11.4,rent,
T-00173,Norden,12.1,rent,
T-00174,Syd,12.8,rent,
T-00175,Norden,13.5,rent,
T-00176,Norden,14.2,rent,
T-00177,Syd,14.9,rent,
T-00178,Norden,15.6,rent,
T-00179,Norden,16.3,rent,
T-00180,Syd,17.0,rent,
T-00181,Norden,17.7,rent,
T-00182,Norden,18.4,rent,
T-00183,Syd,19.1,rent,
T-00184,Norden,19.8,rent,
T-00185,Norden,20.5,rent,
T-00186,Syd,21.2,rent,
T-00187,Norden,10.0,rent,
T-00188,Norden,10.7,rent,
T-00189,Syd,11.4,rent,
T-00190,Norden,12.1,rent,
T-00191,Norden,12.8,rent,
T-00192,Syd,13.5,rent,
T-00193,Norden,14.2,rent,
T-00194,Norden,14.9,rent,
T-00195,Syd,15.6,rent,
T-00196,Norden,16.3,rent,
T-00197,Norden,17.0,rent,
T-00198,Syd,17.7,rent,
T-00199,Norden,18.4,rent,
T-00200,Norden,19.1,rent,
T-00201,Syd,19.8,rent,
T-00202,Norden,20.5,rent,
T-00203,Norden,21.2,rent,
T-00204,Syd,10.0,rent,
T-00205,Norden,10.7,rent,
T-00206,Norden,11.4,rent,
T-00207,Syd,12.1,rent,
T-00208,Norden,12.8,rent,
T-00209,Norden,13.5,rent,
T-00210,Syd,14.2,rent,
T-00211,Norden,14.9,rent,
T-00212,Norden,15.6,rent,
T-00213,Syd,16.3,rent,
T-00214,Norden,17.0,rent,
T-00215,Norden,17.7,rent,
T-00216,Syd,18.4,rent,
T-00217,Norden,19.1,rent,
T-00218,Norden,19.8,rent,
T-00219,Syd,20.5,rent,
T-00220,Norden,21.2,rent,
T-00221,Norden,10.0,rent,
T-00222,Syd,10.7,rent,
T-00223,Norden,11.4,rent,
T-00224,Norden,12.1,rent,
T-00225,Syd,12.8,rent,
T-00226,Norden,13.5,rent,
T-00227,Norden,14.2,rent,
T-00228,Syd,14.9,rent,
T-00229,Norden,15.6,rent,
T-00230,Norden,16.3,rent,
T-00231,Syd,17.0,rent,
T-00232,Norden,17.7,rent,
T-00233,Norden,18.4,rent,
T-00234,Syd,19.1,rent,
T-00235,Norden,19.8,rent,
T-00236,Norden,20.5,rent,
T-00237,Syd,21.2,rent,
T-00238,Norden,10.0,rent,
T-00239,Norden,10.7,rent,
T-00240,Syd,11.4,rent,
T-00241,Norden,12.1,rent,
T-00242,Norden,12.8,rent,
T-00243,Syd,13.5,rent,
T-00244,Norden,14.2,rent,
T-00245,Norden,14.9,rent,
T-00246,Syd,15.6,rent,
T-00247,Norden,16.3,rent,
T-00248,Norden,17.0,rent,
T-00249,Syd,17.7,rent,
T-00250,Norden,18.4,rent,
T-00251,Norden,19.1,rent,
T-00252,Syd,19.8,rent,
T-00253,Norden,20.5,rent,
T-00254,Norden,21.2,rent,
T-00255,Syd,10.0,rent,
T-00256,Norden,10.7,rent,
T-00257,Norden,11.4,rent,
T-00258,Syd,12.1,rent,
T-00259,Norden,12.8,rent,
T-00260,Norden,13.5,rent,
T-00261,Syd,14.2,rent,
T-00262,Norden,14.9,rent,
T-00263,Norden,15.6,rent,
T-00264,Syd,16.3,rent,
T-00265,Norden,17.0,rent,
T-00266,Norden,17.7,rent,
T-00267,Syd,18.4,rent,
T-00268,Norden,19.1,rent,
T-00269,Norden,19.8,rent,
T-00270,Syd,20.5,rent,
T-00271,Norden,21.2,rent,
T-00272,Norden,10.0,rent,
T-00273,Syd,10.7,rent,
T-00274,Norden,11.4,rent,
T-00275,Norden,12.1,rent,
T-00276,Syd,12.8,rent,
T-00277,Norden,13.5,rent,
T-00278,Norden,14.2,rent,
T-00279,Syd,14.9,rent,
T-00280,Norden,15.6,rent,
T-00281,Norden,16.3,rent,
T-00282,Syd,17.0,rent,
T-00283,Norden,17.7,rent,
T-00284,Norden,18.4,rent,
T-00285,Syd,19.1,rent,
T-00286,Norden,19.8,rent,
T-00287,Norden,20.5,rent,
T-00288,Syd,21.2,rent,
T-00289,Norden,10.0,rent,
T-00290,Norden,10.7,rent,
T-00291,Syd,11.4,rent,
T-00292,Norden,12.1,rent,
T-00293,Norden,12.8,rent,
T-00294,Syd,13.5,rent,
T-00295,Norden,14.2,rent,
T-00296,Norden,14.9,rent,
T-00297,Syd,15.6,rent,
T-00298,Norden,16.3,rent,
T-00299,Norden,17.0,rent,
T-00300,Syd,17.7,rent,
T-00301,Norden,18.4,rent,
T-00302,Norden,19.1,rent,
T-00303,Syd,19.8,rent,
T-00304,Norden,20.5,rent,
T-00305,Norden,21.2,rent,
T-00306,Syd,10.0,rent,
T-00307,Norden,10.7,rent,
T-00308,Norden,11.4,rent,
T-00309,Syd,12.1,rent,
T-00310,Norden,12.8,rent,
T-00311,Norden,13.5,rent,
T-00312,Syd,14.2,rent,
T-00313,Norden,14.9,rent,
T-00314,Norden,15.6,rent,
T-00315,Syd,16.3,rent,
T-00316,Norden,17.0,rent,
T-00317,Norden,17.7,rent,
T-00318,Syd,18.4,rent,
T-00319,Norden,19.1,rent,
T-00320,Norden,19.8,rent,
T-00321,Syd,20.5,rent,
T-00322,Norden,21.2,rent,
T-00323,Norden,10.0,rent,
T-00324,Syd,10.7,rent,
T-00325,Norden,11.4,rent,
T-00326,Norden,12.1,rent,
T-00327,Syd,12.8,rent,
T-00328,Norden,13.5,rent,
T-00329,Norden,14.2,rent,
T-00330,Syd,14.9,rent,
T-00331,Norden,15.6,rent,
T-00332,Norden,16.3,rent,
T-00333,Syd,17.0,rent,
T-00334,Norden,17.7,rent,
T-00335,Norden,18.4,rent,
T-00336,Syd,19.1,rent,
T-00337,Norden,19.8,rent,
T-00338,Norden,20.5,rent,
T-00339,Syd,21.2,rent,
T-00340,Norden,10.0,rent,
T-00341,Norden,10.7,rent,
T-00342,Syd,11.4,rent,
T-00343,Norden,12.1,rent,
T-00344,Norden,12.8,rent,
T-00345,Syd,13.5,rent,
T-00346,Norden,14.2,rent,
T-00347,Norden,14.9,rent,
T-00348,Syd,15.6,rent,
T-00349,Norden,16.3,rent,
T-00350,Norden,17.0,rent,
T-00351,Syd,17.7,rent,
T-00352,Norden,18.4,rent,
T-00353,Norden,19.1,rent,
T-00354,Syd,19.8,rent,
T-00355,Norden,20.5,rent,
T-00356,Norden,21.2,rent,
T-00357,Syd,10.0,rent,
T-00358,Norden,10.7,rent,
T-00359,Norden,11.4,rent,
T-00360,Syd,12.1,rent,
T-00361,Norden,12.8,rent,
T-00362,Norden,13.5,rent,
T-00363,Syd,14.2,rent,
T-00364,Norden,14.9,rent,
T-00365,Norden,15.6,rent,
T-00366,Syd,16.3,rent,
T-00367,Norden,17.0,rent,
T-00368,Norden,17.7,rent,
T-00369,Syd,18.4,rent,
T-00370,Norden,19.1,rent,
T-00371,Norden,19.8,rent,
T-00372,Syd,20.5,rent,
T-00373,Norden,21.2,rent,
T-00374,Norden,10.0,rent,
T-00375,Syd,10.7,rent,
T-00376,Norden,11.4,rent,
T-00377,Norden,12.1,rent,
T-00378,Syd,12.8,rent,
T-00379,Norden,13.5,rent,
T-00380,Norden,14.2,rent,
T-00381,Syd,14.9,rent,
T-00382,Norden,15.6,rent,
T-00383,Norden,16.3,rent,
T-00384,Syd,17.0,rent,
T-00385,Norden,17.7,rent,
T-00386,Norden,18.4,rent,
T-00387,Syd,19.1,rent,
T-00388,Norden,19.8,rent,
T-00389,Norden,20.5,rent,
T-00390,Syd,21.2,rent,
T-00391,Norden,10.0,rent,
T-00392,Norden,10.7,rent,
T-00393,Syd,11.4,rent,
T-00394,Norden,12.1,rent,
T-00395,Norden,12.8,rent,
T-00396,Syd,13.5,rent,
T-00397,Norden,14.2,rent,
T-00398,Norden,14.9,rent,
T-00399,Syd,15.6,rent,
T-00400,Norden,16.3,rent,
T-00401,Norden,17.0,rent,
T-00402,Syd,17.7,rent,
T-00403,Norden,18.4,rent,
T-00404,Norden,19.1,rent,
T-00405,Syd,19.8,rent,
T-00406,Norden,20.5,rent,
T-00407,Norden,21.2,rent,
